Year	Spending per person ($)
1966	96.53
1967	252.59
1968	314.52
1969	352.00
1970	376.80
1971	407.04
1972	441.62
1973	460.49
1974	561.27
1975	662.97
1976	778.03
1977	877.25
1978	995.92
1979	1126.11
1980	1332.07
1981	1565.92
1982	1800.92
1983	2012.99
1984	2207.20
1985	2348.16
1986	2461.24
1987	2608.27
1988	2744.73
1989	3061.05
1990	3267.64
1991	3503.37
1992	3868.66
1993	4176.78
1994	4588.27
1995	4965.48
1996	5277.22
1997	5528.61
1998	5449.04
1999	5504.49
2000	5735.51
2001	6253.60
2002	6623.47
2003	6952.51
2004	7522.92
2005	8093.21
2006	9357.09
2007	9822.99
2008	10334.86
2009	10775.36
2010	10963.88
2011	11188.54
2012	11200.53
2013	11268.86
2014	11429.22
2015	11674.18
2016	11861.42
2017	12058.61
2018	12494.66
2019	13037.07
2020	13227.63
2021	14098.45
